lemma	rank	occurrences
raza	1617	159
mira	1618	159
perdon	1619	159
llama	1620	159
relato	1621	159
asistir	1622	159
escondido	1623	158
odiar	1624	158
ardiente	1625	158
corresponder	1626	158
mudo	1627	158
guiar	1628	158
impulso	1629	158
zorro	1630	158
sentencia	1631	158
semblante	1632	158
acometer	1633	158
aparte	1634	157
cortina	1635	157
rumor	1636	157
nombrar	1637	157
licencia	1638	157
envidia	1639	157
banquete	1640	157
fiero	1641	157
consolar	1642	157
abrigo	1643	156
xvii	1644	156
curso	1645	156
disgusto	1646	156
oracion	1647	156
exigir	1648	156
apetito	1649	156
deidad	1650	156
flotar	1651	155
propiedad	1652	155
